depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.05,1,0,0,,4.918494057864902,970,1471,39986,
3,0.05,0.05,1,1,1,,4.973737948753363,374,1429,4880,
3,0.05,0.05,1,1,7389,,3.604309708125183,20,591,162,
3,0.05,0.05,1,1,13698,,3.939507463829536,20,541,271,
3,0.05,0.05,1,1,1608,,3.371873766815652,12,343,170,
3,0.05,0.05,1,1,3748,,3.73473143106394,14,486,188,
3,0.05,0.05,1,1,10366,,3.6226123240757473,6,233,85,
3,0.05,0.05,1,1,9716,,3.589915455336897,14,515,214,
3,0.05,0.05,1,1,2071,,3.697353336152425,12,444,338,
3,0.05,0.05,1,1,869,,4.066066870472137,17,532,237,
3,0.05,0.05,1,1,9224,,3.807595271275603,8,315,131,
3,0.05,0.05,1,1,14265,,3.925188964610449,18,543,145,
3,0.05,0.05,1,1,10804,,3.633156398163702,7,340,121,
3,0.05,0.05,1,1,7752,,3.2886357335409007,6,184,97,
3,0.05,0.05,1,1,6175,,3.521998764821548,12,482,242,
3,0.05,0.05,1,1,1126,,3.8997529128363326,17,554,135,
3,0.05,0.05,1,1,9056,,3.4809323496810096,9,333,114,
3,0.05,0.05,1,1,24,,3.3776035392246175,3,151,79,
3,0.05,0.05,1,1,12671,,3.676708918493683,8,377,105,
3,0.05,0.05,1,1,14547,,3.7859509939528055,10,326,145,
3,0.05,0.05,1,1,8712,,3.8789009719522762,12,437,117,
3,0.05,0.05,1,1,184,,3.2706621483818474,5,252,62,
3,0.05,0.05,1,1,988,,3.4791793519323915,21,596,252,
3,0.05,0.05,1,1,1603,,3.569014403068585,12,359,206,
3,0.05,0.05,1,1,3775,,3.9259702329089956,11,347,190,
3,0.05,0.05,1,1,391,,3.8653248307241443,15,489,382,
3,0.05,0.05,1,1,12669,,3.4063632981773844,7,283,87,
3,0.05,0.05,1,1,1476,,3.5543991822816974,13,445,159,
3,0.05,0.05,1,1,3,,3.3975005197808286,10,348,180,
3,0.05,0.05,1,1,350,,3.630097227451353,6,275,131,
3,0.05,0.05,1,1,21090,,2.420711122994385,5,226,81,
3,0.05,0.05,1,1,97,,3.5375797174792774,12,396,191,
3,0.05,0.05,1,1,114,,3.7295999367413533,22,656,397,
3,0.05,0.05,1,1,6691,,3.136409129076229,20,599,162,
3,0.05,0.05,1,1,22484,,3.571135974637222,6,270,106,
3,0.05,0.05,1,1,10810,,3.2775146238785835,7,279,52,
3,0.05,0.05,1,1,23460,,3.447049358612162,3,213,141,
3,0.05,0.05,1,1,8518,,3.3631493140246276,12,348,76,
3,0.05,0.05,1,1,23309,,3.4038676102180347,5,225,75,
3,0.05,0.05,1,1,23469,,3.1507483796576765,2,118,68,
3,0.05,0.05,1,1,8600,,3.7392126346476475,9,401,167,
3,0.05,0.05,1,1,2255,,4.075995423553905,8,313,252,
3,0.05,0.05,1,1,22598,,3.3529952798442775,4,155,54,
3,0.05,0.05,1,1,4058,,3.451254834658962,8,378,107,
3,0.05,0.05,1,1,5589,,3.194186929743037,10,394,81,
3,0.05,0.05,1,1,128,,3.8194996365309994,13,420,280,
3,0.05,0.05,1,1,53,,2.966820930059571,13,461,150,
3,0.05,0.05,1,1,59,,3.0463348532625942,6,216,47,
3,0.05,0.05,1,1,7969,,3.4582430969864935,14,462,187,
3,0.05,0.05,1,1,20083,,3.7879843848564483,8,291,109,
3,0.05,0.05,1,1,808,,3.9317819617415015,18,533,214,
3,0.05,0.05,1,1,24442,,3.2925287344429663,3,187,65,
3,0.05,0.05,1,1,235,,3.8120437956829045,9,333,119,
3,0.05,0.05,1,1,1149,,3.5294517171858333,8,321,180,
3,0.05,0.05,1,1,22875,,3.258012373564082,6,300,109,
3,0.05,0.05,1,1,145,,3.2000309096331017,8,368,191,
3,0.05,0.05,1,1,21793,,3.2550148714840734,4,164,72,
3,0.05,0.05,1,1,21369,,3.3077987311218298,4,177,87,
3,0.05,0.05,1,1,24196,,3.328292878965219,3,159,83,
3,0.05,0.05,1,1,9429,,3.574351786928946,3,139,157,
3,0.05,0.05,1,1,18239,,3.5908858209519403,2,108,71,
3,0.05,0.05,1,1,23639,,3.507145959671537,6,272,63,
3,0.05,0.05,1,1,16275,,2.5226469777708473,3,176,18,
3,0.05,0.05,1,1,24612,,3.462335280435534,2,144,107,
3,0.05,0.05,1,1,17331,,3.4968264898697585,5,242,112,
3,0.05,0.05,1,2,2,,5.050746699434838,127,1167,3371,
3,0.05,0.05,1,2,20872,,3.2797885593673057,3,144,181,
3,0.05,0.05,1,2,16759,,3.5214134481371726,5,211,71,
3,0.05,0.05,1,2,21621,,2.983459881950408,2,105,103,
3,0.05,0.05,1,2,24536,,3.034952986707271,2,89,52,
3,0.05,0.05,1,2,13381,,4.062295838930437,9,354,391,
3,0.05,0.05,1,2,23313,,3.0210195932686386,4,175,116,
3,0.05,0.05,1,2,24475,,3.8032082549022306,2,132,102,
3,0.05,0.05,1,2,24587,,3.4161105018574527,2,134,101,
3,0.05,0.05,1,2,20682,,3.8119112194629787,7,291,205,
3,0.05,0.05,1,2,2922,,4.322616227575851,14,454,317,
3,0.05,0.05,1,2,21020,,3.9081637160900757,9,337,164,
3,0.05,0.05,1,2,15674,,3.549433800780463,6,235,119,
